            commando  0.1
251      paternalism    1
53      non-sequitur    1
249      antisemitic    1
247      fascinating    1
57         blackfoot    1
58       mutualistic    1
253       conquering    1
82            violon    1
199           warped    1
198    juxtaposition    1
106         hardtack    1
152           gritty    1
151       matchstick    1
149         twilight    1
146            kente    1
108      overbearing    1
142        grandiose    1
160          budding    1
141             trek    1
136          centaur    1
112         hedgehog    1
133      indifferent    1
132       figurative    1
115        timepiece    1
117          satanic    1
126         baseline    1
139       sans-serif    1
164            homey    1
166        imitation    1
168          bunraku    1
86       commonality    1
192        cockatiel    1
87       pontificate    1
189         dazzling    1
188          melodic    1
88              moji    1
91       camaraderie    1
182         gradient    1
181           choppy    1
178        menagerie    1
177          cynical    1
176          ribcage    1
174           houser    1
172           jiggly    1
171            narod    1
99              gaia    1
169         sheepish    1
269       sandcastle    1
270              2-d    1
63           juggler    1
272    looking-glass    1
327           dreary    1
13            admire    1
15         storytime    1
323             nero    1
271       minimalism    1
322     orienteering    1
330  self-importance    1
20           gravity    1
21           ostrach    1
316            yello    1
24             quoit    1
314          implore    1
313           jargon    1
25           cherish    1
319       brilliance    1
308        squiggles    1
332          sensory    1
335       rehearsing    1
359           jester    1
357        ferocious    1
356       talleyrand    1
1              iliad    1
2        handwriting    1
3         desolation    1
333          giggles    1
349          endnote    1
348     sacrilegious    1
346       refreshing    1
345        afterword    1
344         songbird    1
342          ukelele    1
341     haberdashery    1
7         allegretto    1
29           ashamed    1
17             shule    1
120           cherub    1
37            bucker    1
36         headstand    1
299           grumpy    1
283       centigrade    1
45            kinder    1
35         attentive    1
282            witty    1
33       footsoldier    1
290              ijk    1
46            bolded    1
279          whisper    1
44             gnaws    1
305           darton    1
287           fruity    1
275          teatime    1
274           slouch    1
47       exclamation    1
603        overnight    2
595             omar    2
596            spite    2
597          choices    2
598   sustainability    2
10             grown    2
11               hip    2
103          workers    2
601            boxer    2
696         homeland    2
599       discipline    2
105      improvement    2
695          chevron    2
653         guarding    2
592              use    2
8                aid    2
579          tsunami    2
580              one    2
119        champions    2
659        positions    2
584            rapid    2
657            month    2
113            blind    2
9           ceremony    2
587            asian    2
111          beliefs    2
590       recreation    2
700              she    2
699          produce    2
100            movie    2
107            birth    2
654   industrialized    2
588             near    2
42     embarrassment    2
30          symbolic    2
12           warning    2
23       celebrities    2
81           success    2
80              soil    2
78         confident    2
627          hundred    2
76             thank    2
629       highlights    2
75              reap    2
66             guilt    2
680              joy    2
631        integrity    2
74              bird    2
73             shows    2
679            crash    2
634             lots    2
674            risks    2
636           sprint    2
28              karl    2
69           unusual    2
643        realistic    2
692           answer    2
84              coal    2
18             pages    2
606            quote    2
98              side    2
638           silver    2
