Index(['Label', 'Cluster'], dtype='object')
               Label  Cluster
414             leek       10
260         porridge       10
188             mild       10
706         grilling       10
281            cakes       10
370            fudge       10
332         sausages       10
384            cough       10
692         desserts       10
157          waffles       10
115           grapes       10
705           savory       10
352            cubes       10
155        mushrooms       10
616            melon       10
10          ceremony       11
663         numerals       11
678         reversal       11
31          symbolic       11
255        recalling       11
672   congratulatory       11
689         midnight       11
550              hue       11
377       invitation       11
205         assembly       11
70           unusual       11
410         goodwill       11
326           depart       11
609       homecoming       11
605           ritual       11
48       exclamation       11
505          lancers       12
32     quartermaster       12
202         infantry       12
197        parachute       12
621          platoon       12
446       midshipmen       12
278         squadron       12
215            armor       12
0           commando       12
375      confederate       12
418         stockton       13
249        kettering       13
241         robinson       13
482          bullock       13
483           eagles       13
103           sparta       13
230         kimberly       13
321            holly       13
399          solomon       13
266            marsh       13
390         shilling       13
453         clarinet       13
44              pike       13
393         symphony       13
668            isaac       13
448            laver       13
447           crouch       13
35             blues       13
296              ray       13
191            karen       13
497            hardy       13
514         aqueduct       13
450          malcolm       13
440            zelda       13
29              karl       13
322             lama       14
142             trek       14
144         beheaded       14
422         mistress       14
576            mecca       14
435            naked       14
527            elder       14
158            earth       14
297            roman       14
545            lover       14
150         twilight       14
329      grandmother       14
279      grandfather       14
363              sun       14
367          bandits       14
274          goddess       14
653      philosopher       14
650           martyr       14
108            birth       14
254       conquering       14
110         hercules       14
324             nero       14
466           dragon       14
602            boxer       15
120        champions       15
196             gold       15
33              pole       15
588            asian       15
560     weightlifter       15
65             rolex       15
323     orienteering       15
639           silver       15
637           sprint       15
327          doubles       15
289           diving       15
655   industrialized       16
208         elevated       16
372        household       16
385             peak       16
604        overnight       16
531            lower       16
244           levels       16
284       centigrade       16
221            index       16
473            yo-yo       17
665           futbol       17
530            usher       17
161          budding       17
533            annie       17
114            blind       17
406            orson       17
164           blonde       17
94           crooked       17
629    ventriloquist       17
90              beek       17
382            brawl       17
541     veterinarian       17
64           juggler       17
543     kindergarten       17
544               da       17
493            karma       17
226        accordion       17
40                ra       17
525         nickname       17
175           houser       17
293              sup       17
703             chin       17
501              mom       17
509       apprentice       17
12               hip       17
511            actor       17
339         mechanic       17
27         playhouse       17
336       rehearsing       17
397     troublemaker       17
396           kungfu       17
194         landlord       17
679           karate       17
430              lad       17
156              bag       18
117             tins       18
136          stacked       18
135         bracelet       18
419           cement       18
119             foam       18
454             load       18
57               kit       18
222          picking       18
449           basket       18
39         cigarette       18
646            coats       18
285         homemade       18
55             nails       18
303          baggage       18
187          spatula       18
15            shells       18
536            sacks       18
573          padding       18
311            steal       18
539             wrap       18
198             gear       18
580          tsunami       19
680            crash       19
374          titanic       19
251        collision       19
617        aftermath       19
631          takeoff       19
392        snowstorm       19
232         collapse       19
210          slammed       19
292             boom       19
124             sign       20
691          contain       20
500         benefits       20
13           warning       20
474         stressed       20
212         document       20
184           danger       20
286           motion       20
658            month       20
217             pose       20
516           threat       20
368             arab       20
557         dropping       20
615            enter       20
556         contract       20
174             must       20
660        positions       20
675            risks       20
388       washington       20
166         russians       20
104          workers       20
192       connection       20
461           trades       20
305        surrender       20
596             omar       20
176              key       20
145      encouraging       20
486           saying       20
290        accepting       20
381           rights       20
579             stem       20
209             spur       20
141          turning       20
542           spying       20
9                aid       20
585            rapid       20
700          produce       20
138             hope       20
568             foes       20
566          discuss       20
378          prevent       20
565        suspended       20
593              use       20
318              lay       20
265         november       20
699       subversion       20
532           rosary       21
376         grooming       21
431              mlk       21
314           jargon       21
661           dagger       21
490             lisp       21
513             kola       21
443       masquerade       21
349     sacrilegious       21
704          unclean       21
2              iliad       21
3        handwriting       21
698   deconstruction       21
359            baggy       21
360           jester       21
346        afterword       21
415         folktale       21
686  objectification       21
203          cavemen       21
684     collectivism       21
649       playground       21
201         umbrella       21
28            parlor       21
275           slouch       21
200           warped       21
272       minimalism       21
68         dentistry       21
80         manliness       21
479             giza       21
611            soars       21
250      antisemitic       21
395       fairytales       21
179        menagerie       21
252      paternalism       21
425       parenthood       21
559     make-believe       21
133       figurative       21
227       fatherless       21
601      schoolhouse       21
118          satanic       21
624            idiom       21
586            hoard       21
116        timepiece       21
584        housework       21
625           scythe       21
606         obsolete       21
645            trope       21
71             caste       21
549      afrocentric       21
262     mercantilism       21
638        patchwork       21
147            kente       21
140       sans-serif       21
423          preying       21
578           doggie       21
569            weave       21
88       pontificate       21
562         trinkets       21
167        imitation       21
428              pew       21
477         misogyny       21
595           vowels       22
695        consonant       22
344             gulf       23
670         maritime       23
408            ferry       23
269         shipping       23
85              coal       23
239       headlights       24
696          chevron       24
458          painted       24
163             blue       24
441              lit       24
613           chrome       24
467             dome       24
335         shingles       24
386            sleek       24
444         headlamp       24
519           fender       24
224       horizontal       24
259             soot       24
355              cab       24
316           lenses       24
657        chevrolet       24
633      symmetrical       24
84              wavy       24
563             tile       24
282           livery       24
