Index(['Label', 'Cluster'], dtype='object')
               Label  Cluster
337            toxic        0
700          produce        0
41         substance        0
308          natural        0
85              coal        0
244           levels        0
295           fossil        0
691          contain        0
81              soil        0
158            earth        0
347       refreshing        1
109      overbearing        1
694        unnatural        1
648           ragged        1
594         annoying        1
248      fascinating        1
638        patchwork        1
66            polite        1
63         impactful        1
62         desperate        1
606         obsolete        1
358        ferocious        1
682          radiant        1
677       cartoonish        1
50        empathetic        1
312             tone        1
445           poetic        1
190         dazzling        1
189          melodic        1
644        realistic        1
182           choppy        1
178          cynical        1
170         sheepish        1
213           sloppy        1
643      frustrating        1
165            homey        1
438      trustworthy        1
153           gritty        1
328           dreary        1
143        grandiose        1
433           heroic        1
555        talkative        1
134      indifferent        1
133       figurative        1
300           grumpy        1
371       dreadfully        1
577    uncoordinated        1
704          unclean        1
46            kinder        1
626         fearless        1
404       idealistic        1
460        innocuous        1
283            witty        1
268          foolish        1
36         attentive        1
619       nonchalant        1
633      symmetrical        1
623       disorderly        1
656        degrading        1
30           ashamed        1
47            bolded        2
319           spines        2
595           vowels        2
12               hip        2
296              ray        2
149           sickle        2
544               da        2
436             cord        2
550              hue        2
695        consonant        2
102             roda        2
103           sparta        2
223       drumsticks        2
284       centigrade        2
663         numerals        2
703             chin        2
226        accordion        2
522            pedal        2
249        kettering        2
521         cataract        2
177          ribcage        2
453         clarinet        2
478             beta        2
442       chromosome        2
519           fender        2
393         symphony        2
448            laver        2
685            thumb        2
40                ra        2
139        entangled        3
222          picking        3
334          giggles        3
336       rehearsing        3
512            catch        3
132            shout        3
195             limp        3
204            leggy        3
507            spank        3
126        tentacles        3
125        scratches        3
561             lash        3
627            brows        3
311            steal        3
674         devoured        3
435            naked        3
530            usher        3
7           shouting        3
508             bugs        3
122            smile        3
180             naps        3
315          implore        3
688       binoculars        3
185             idle        3
5               clap        3
301             worm        3
437        fireflies        3
526        clipboard        3
280          whisper        3
398          tearing        3
463              rot        3
515             fade        3
164           blonde        3
384            cough        3
341            shave        3
430              lad        3
452         unfurled        3
69              wept        3
603              keg        3
94           crooked        3
416            hurry        3
299            dizzy        3
622          puddles        3
365          bunnies        3
664          fainted        3
424          tipping        3
672   congratulatory        3
487         thistles        3
567           rattle        3
369         implored        3
429             suck        3
256          flutter        3
614            stalk        3
228        scrubbing        3
571            blush        3
227       fatherless        3
52             queue        3
457            splat        3
506           violet        3
392        snowstorm        4
9                aid        4
378          prevent        4
680            crash        4
292             boom        4
304      countryside        4
408            ferry        4
251        collision        4
184           danger        4
604        overnight        4
617        aftermath        4
407            north        4
303          baggage        4
631          takeoff        4
654         guarding        4
210          slammed        4
670         maritime        4
590             raft        4
269         shipping        4
344             gulf        4
557         dropping        4
380      mountainous        4
426            sinks        4
232         collapse        4
104          workers        4
351        territory        4
689         midnight        4
580          tsunami        4
326           depart        4
516           threat        4
537          seaside        4
540           police        4
325        buildings        4
589             near        4
13           warning        4
354       retreating        4
484          extreme        5
655   industrialized        5
468          minimal        5
678         reversal        5
683      progression        5
231        educating        5
454             load        5
253             sort        5
287         hardship        5
221            index        5
500         benefits        5
461           trades        5
208         elevated        5
218         approach        5
237       perception        5
258     associations        5
209             spur        5
217             pose        5
294             self        5
333          sensory        5
310            skill        5
579             stem        5
95           culture        5
585            rapid        5
82           success        5
76              reap        5
597            spite        5
598          choices        5
599   sustainability        5
600       discipline        5
70           unusual        5
56           routine        5
31          symbolic        5
379        empirical        5
385             peak        5
21           gravity        5
17         efficient        5
11             grown        5
667     encompassing        5
632        integrity        5
106      improvement        5
112          beliefs        5
593              use        5
535      consequence        5
154           behave        5
675            risks        5
531            lower        5
145      encouraging        5
183         gradient        5
160         weakness        5
546          spatial        5
464       boundaries        5
188             mild        5
127         baseline        5
168       appreciate        5
131        detection        5
440            zelda        6
455          thimble        6
665           futbol        6
374          titanic        6
403    strikebreaker        6
444         headlamp        6
443       masquerade        6
400           kludge        6
387          pro-war        6
389         pallette        6
390         shilling        6
306           darton        6
661           dagger        6
397     troublemaker        6
459          ballons        6
373       crossbreed        6
342     haberdashery        6
415         folktale        6
343          ukelele        6
345         songbird        6
673              bpu        6
350          endnote        6
662       marionette        6
451    crossdressing        6
421           icebox        6
420             halo        6
309        squiggles        6
357       talleyrand        6
293              sup        6
417             tose        6
302          teacups        6
291              ijk        6
324             nero        6
360           jester        6
431              mlk        6
406            orson        6
317            yello        6
520            sonic        6
276          teatime        6
72           dreidel        6
78       infographic        6
83            violon        6
89              moji        6
583         nihilist        6
582         sunshade        6
578           doggie        6
100             gaia        6
107         hardtack        6
572        self-love        6
113         hedgehog        6
116        timepiece        6
118          satanic        6
121           cherub        6
559     make-believe        6
277           sprite        6
137          centaur        6
553       cendrillon        6
140       sans-serif        6
552        motorhome        6
551     echolocation        6
64           juggler        6
147            kente        6
60           victual        6
608         blowhole        6
2              iliad        6
6             canner        6
8         allegretto        6
629    ventriloquist        6
16         storytime        6
18             shule        6
20          dulcimer        6
22           ostrach        6
23             clack        6
25             quoit        6
625           scythe        6
636           bougie        6
620           mangos        6
34       footsoldier        6
37         headstand        6
38            bucker        6
