Index(['Label', 'Cluster'], dtype='object')
               Label  Cluster
702        drumstick        6
49              igwe        6
51           tankard        6
53          gumdrops        6
54      non-sequitur        6
59       mutualistic        6
547            tulip        6
558          vestals        6
152       matchstick        6
647        horseless        6
510      indpendence        6
214         cry-baby        6
150         twilight        6
220           goblin        6
225       embarassed        6
498        dollhouse        6
494            frill        6
491            suess        6
490             lisp        6
488        maharajah        6
246           advert        6
481          katydid        6
257     interjection        6
261          offroad        6
473            yo-yo        6
264          mooring        6
267           crusoe        6
270       sandcastle        6
271              2-d        6
273    looking-glass        6
206           cymbal        6
203          cavemen        6
219            plait        6
396           kungfu        6
172            narod        6
518           squall        6
687           hakama        6
532           rosary        6
529       scrollwork        6
175           houser        6
169          bunraku        6
173           jiggly        6
538         basepath        6
193        cockatiel        6
642            middy        6
395       fairytales        6
645            trope        6
628          hundred        7
439           legacy        7
630       highlights        7
432      influential        7
401      illustrated        7
666           voices        7
542           spying        7
474         stressed        7
556         contract        7
658            month        7
472          harvard        7
581              one        7
564             idea        7
517          writing        7
660        positions        7
575        listening        7
596             omar        7
574               we        7
524             open        7
568             foes        7
413          library        7
607            quote        7
410         goodwill        7
502            spent        7
566          discuss        7
495           single        7
610             lost        7
565        suspended        7
486           saying        7
615            enter        7
353              ads        7
388       washington        7
166         russians        7
207          journal        7
205         assembly        7
340     relationship        7
192       connection        7
286           motion        7
697         homeland        7
96               top        7
101            movie        7
693           answer        7
255        recalling        7
322             lama        7
123         pictures        7
124             sign        7
176              key        7
174             must        7
171             york        7
138             hope        7
141          turning        7
290        accepting        7
305        surrender        7
79         confident        7
77             thank        7
212         document        7
74             shows        7
247              job        7
10          ceremony        7
381           rights        7
377       invitation        7
241         robinson        7
19             pages        7
24       celebrities        7
368             arab        7
699       subversion        7
29              karl        7
42          position        7
298            ideas        7
265         november        7
701              she        7
233              ran        7
496       conformity        8
686  objectification        8
240        foresight        8
499          dignify        8
199    juxtaposition        8
200           warped        8
394         solitude        8
234           apathy        8
242         obscured        8
250      antisemitic        8
167        imitation        8
238  mischievousness        8
493            karma        8
570        deference        8
549      afrocentric        8
1        leaderships        8
3        handwriting        8
4         desolation        8
14            admire        8
26           cherish        8
624            idiom        8
43     embarrassment        8
45             gnaws        8
611            soars        8
48       exclamation        8
67             guilt        8
161          budding        8
68         dentistry        8
86              3.50        8
87       commonality        8
640    individuality        8
641         suspense        8
88       pontificate        8
584        housework        8
698   deconstruction        8
92       camaraderie        8
128             ruin        8
129          incline        8
554          conceal        8
80         manliness        8
252      paternalism        8
684     collectivism        8
254       conquering        8
425       parenthood        8
428              pew        8
346        afterword        8
331  self-importance        8
320       brilliance        8
634      intolerance        8
314           jargon        8
361        quenching        8
366   thoughtfulness        8
275           slouch        8
671         overview        8
409            typos        8
272       minimalism        8
376         grooming        8
349     sacrilegious        8
470       inadequacy        8
262     mercantilism        8
476       maturation        8
477         misogyny        8
650           martyr        9
71             caste        9
191            karen        9
525         nickname        9
527            elder        9
114            blind        9
605           ritual        9
533            annie        9
297            roman        9
450          malcolm        9
653      philosopher        9
668            isaac        9
609       homecoming        9
144         beheaded        9
489           loving        9
548          couples        9
543     kindergarten        9
194         landlord        9
545            lover        9
108            birth        9
576            mecca        9
482          bullock        9
348          origins        9
681              joy        9
501              mom        9
669            tribe        9
372        household        9
399          solomon        9
230         kimberly        9
339         mechanic        9
274          goddess        9
509       apprentice        9
422         mistress        9
279      grandfather        9
329      grandmother        9
511            actor        9
612         children        9
73              eggs       10
117             tins       10
115           grapes       10
352            cubes       10
243      blueberries       10
427             okra       10
692         desserts       10
332         sausages       10
706         grilling       10
155        mushrooms       10
536            sacks       10
285         homemade       10
616            melon       10
281            cakes       10
462       condiments       10
288           fruity       10
260         porridge       10
492           boiled       10
414             leek       10
705           savory       10
370            fudge       10
162             fish       10
471         cookbook       10
539             wrap       10
449           basket       10
157          waffles       10
187          spatula       10
327          doubles       11
588            asian       11
33              pole       11
637           sprint       11
196             gold       11
679           karate       11
323     orienteering       11
560     weightlifter       11
602            boxer       11
120        champions       11
135         bracelet       11
639           silver       11
65             rolex       11
289           diving       11
55             nails       12
15            shells       12
57               kit       12
359            baggy       12
419           cement       12
363              sun       12
356            decor       12
386            sleek       12
355              cab       12
39         cigarette       12
364           shorts       12
412            pails       12
28            parlor       12
613           chrome       12
318              lay       12
592          drawers       12
181         swimsuit       12
458          painted       12
198             gear       12
282           livery       12
201         umbrella       12
646            coats       12
211            dolls       12
215            armor       12
224       horizontal       12
657        chevrolet       12
504          ruffles       12
469      calligraphy       12
236       tablecloth       12
239       headlights       12
259             soot       12
651             lawn       12
652             vase       12
659           sponge       12
84              wavy       12
163             blue       12
151           drying       12
335         shingles       12
91              hung       12
434          costume       12
105          couches       12
573          padding       12
569            weave       12
156              bag       12
563             tile       12
119             foam       12
441              lit       12
136          stacked       12
316           lenses       12
313        streamers       12
690             saws       12
676           potted       12
148             logs       12
562         trinkets       12
635             lots       12
649       playground       13
696          chevron       13
707            stags       13
618       attraction       13
391       underwater       13
383       metropolis       13
382            brawl       13
367          bandits       13
338          petting       13
330            bison       13
321            holly       13
266            marsh       13
263       waterfalls       13
235             fuji       13
216          monkeys       13
402      candlestick       13
186            lodge       13
146           queens       13
142             trek       13
110         hercules       13
97              kelp       13
93           turtles       13
90              beek       13
75              bird       13
61           keeling       13
58         blackfoot       13
44              pike       13
27         playhouse       13
179        menagerie       13
411            jacks       13
362           nymphs       13
497            hardy       13
514         aqueduct       13
503        creatures       13
418         stockton       13
523         sawtooth       13
485         dwelling       13
541     veterinarian       13
480         goldfish       13
513             kola       13
586            hoard       13
479             giza       13
467             dome       13
466           dragon       13
591       recreation       13
465           barren       13
447           crouch       13
601      schoolhouse       13
423          preying       13
475        squirrels       13
587            scots       14
534          innings       14
528          offense       14
35             blues       14
32     quartermaster       14
98              1660       14
99              side       14
111            bogey       14
405            teams       14
505          lancers       14
159             beat       14
197        parachute       14
202         infantry       14
229         inactive       14
483           eagles       14
245            welsh       14
278         squadron       14
307             team       14
621          platoon       14
375      confederate       14
456          trained       14
446       midshipmen       14
130           flying       14
0           commando       14
